Country Name;Country Code;avg_GDP_capita;max_year;GDP_capita_max_year;min_year;GDP_capita_min_year;%_change
Bosnia and Herzegovina;BIH;5223;2019;6073.265203;2010;4635.517779;3.0471534497758412
Botswana;BWA;7431;2019;8279.601365;2010;6434.815657;2.8403869250438474
Brazil;BRA;10648;2019;13245.6125;2010;8710.09669;4.767763828039784
Brunei Darussalam;BRN;36614;2019;47740.5149;2010;27157.82341;6.468552282548701
Bulgaria;BGR;7963;2019;9737.601351000001;2010;6809.898984;4.053528871956535
Burkina Faso;BFA;741;2019;820.1607938;2010;647.8358465;2.655343103323715
Burundi;BDI;268;2019;305.5497728;2010;234.2356469;2.997205543996717
Cabo Verde;CPV;3446;2019;3740.389099;2010;3043.013984;2.319163654165046
Cambodia;KHM;1170;2019;1643.1213890000001;2010;785.5022829;8.545938386112795
Cameroon;CMR;1420;2019;1542.620266;2010;1286.515572;2.037648794161462
Canada;CAN;47932;2019;52678.39012;2010;42322.48478;2.4618919321077515
Caribbean small states;CSS;9838;2019;10307.58628;2010;9086.894793000001;1.4103745027254977
Cayman Islands;CYM;76461;2018;85477.28701;2010;72328.41163999999;2.1098704518104805
Central African Republic;CAF;459;2019;565.800697;2010;377.4230017;4.601336809189993
Central Europe and the Baltics;CEB;13900;2019;16184.33201;2010;12493.71382;2.9175045417914935
Chad;TCD;842;2019;1020.288204;2010;665.9483527000001;4.8544638861341305
Chile;CHL;14646;2019;15924.794240000001;2010;12808.034590000001;2.449572058041971
China;CHN;7655;2019;10261.67913;2010;4550.453596;9.456212351526938
Colombia;COL;6963;2019;8218.033996;2010;5871.223575;3.8069881311297626
Comoros;COM;1384;2019;1513.830379;2010;1242.60319;2.217956548604594
Congo;COD;463;2019;557.0644182999999;2010;334.0215726;5.847647823148239
Congo;COG;2476;2019;3286.694535;2010;1762.0320179999999;7.172370933168359
Costa Rica;CRI;10735;2019;12238.37496;2010;8141.913127;4.632443030133748
Cote d'Ivoire;CIV;1733;2019;2302.612951;2010;1208.583026;7.424895322725389
Croatia;HRV;13630;2019;14920.191380000002;2010;11782.89908;2.6576597398281443
Cuba;CUB;7273;2018;8821.818890999999;2010;5730.354775;5.541212294069187
Curacao;CUW;19999;2018;20587.39736;2011;19457.53152;0.8096153761145475
Cyprus;CYP;27794;2019;32396.385739999998;2010;23333.71491;3.713368892990654
Czech Republic;CZE;20362;2019;23101.7777;2010;17715.61685;2.993520274903405
Denmark;DNK;58832;2019;62548.98473;2010;53254.856;1.8034131778837725
Djibouti;DJI;2406;2019;3408.846254;2010;1343.26873;10.901719240239904
Dominica;DMA;7416;2019;8300.375074;2010;6848.394227;2.1595035764439885
Dominican Republic;DOM;6857;2019;8282.116222;2010;5555.389722;4.536906298683396
Early-demographic dividend;EAR;3378;2019;3641.4942810000002;2010;2944.925795;2.3870501176300962
East Asia & Pacific;EAS;9792;2019;11526.736490000001;2010;7697.992805;4.58778968698661
East Asia & Pacific (IDA & IBRD countries);TEA;6361;2019;8308.334363;2010;4048.3355460000002;8.316109241721126
East Asia & Pacific (excluding high income);EAP;6294;2019;8222.077729999999;2010;4005.4889630000002;8.318563837298388
Ecuador;ECU;5883;2019;6377.09153;2010;4633.5903579999995;3.6123844275580685
Egypt;EGY;3045;2019;3598.9709479999997;2010;2440.510173;4.410503712783997
El Salvador;SLV;3645;2019;4187.2500310000005;2010;2983.2427079999998;3.83888929430396
Equatorial Guinea;GNQ;14890;2019;21711.15323;2010;8131.923887999999;11.52898040879553
Eritrea;ERI;572;2011;642.5076591;2010;501.3556333000001;28.154071965027192
